Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
3-carboxamide derivative 5 (Coumarin),3.52,Triplet,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Glucuronate,3.52,,,,,
Myo-inositol,3.5217,Doublet of doublets,2.889,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Myo-inositol,3.5217,Doublet of doublets,3.006,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glucose,3.526,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Myo-inositol,3.53,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Myo-inositol,3.53,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Myo-inositol,3.53,Doublet of doublets,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
β-1-glucuronide of (S)-Ketoprofen,3.53,Triplet,9.47,Anti-inflammatory,Ketoprofen triptic,Unknown
Myo-inositol,3.53,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Inositol,3.53,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycine,3.54,Singlet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
β-Glucose,3.54,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-Glucose,3.54,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Myo-inositol,3.54,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
β-1-glucuronide of (R)-Ketoprofen,3.54,Triplet,9.22,Anti-inflammatory,Ketoprofen triptic,Unknown
Trimethylamine-N-oxide (TMAO),3.54,Singlet,,Food additives in body fluid - Fish,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
α-Glucose,3.54,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycine,3.54,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycine,3.548,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glycine,3.55,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glycine,3.55,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Glycine,3.55,Singlet,,Metabolites,Miscelaneous list,Unknown
Theofylline,3.55,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glycine,3.55,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glycerol,3.5522,Doublet of doublets,-11.715,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glycerol,3.5522,Doublet of doublets,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glycerol,3.56,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycine,3.56,Singlet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Glycerol,3.56,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glycerol,3.56,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glycerol,3.56,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
α-Glucose,3.56,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycerol,3.56,Doublet of triplets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glyceraldehyde,3.569,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Dimethylglycine,3.57,Singlet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Isoleucine,3.57,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Glycerol,3.57,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
3-carboxamide derivative 3 (Coumarin),3.57,Doublet of triplets,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Dimethylglycine,3.57,Singlet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycine,3.57,Singlet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Valine,3.57,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycine,3.57,,,,,
Threonine,3.5785,Doublet,4.917,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glycogen,3.58,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
β-1-glucuronide of (R)-Ketoprofen,3.58,Triplet,8.96,Anti-inflammatory,Ketoprofen triptic,Unknown
Threonine,3.59,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Threonine,3.59,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Threonine,3.59,Doublet,,Metabolites,Miscelaneous list,Unknown
Threonine,3.59,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,3.5953,Doublet,4.405,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phosphocholine,3.6,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Pyridoxine,3.6,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Valine,3.6,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Threonine,3.6,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
3-carboxamide derivative 4 (Coumarin),3.6,Triplet,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Phosphocholine,3.6,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Threonine,3.6,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Valine,3.6,Doublet,,Metabolites,Miscelaneous list,Unknown
GPC,3.6,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,3.6,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,3.6,,,,,
Glycero-phosphocholine,3.605,Doublet of doublets,5.77,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Valine,3.61,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Phosphorylcholine,3.61,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
β-1-glucuronide of (S)-Ketoprofen,3.61,Triplet,9.22,Anti-inflammatory,Ketoprofen triptic,Unknown
S-Sulfocysteine,3.61,AA' BB' system,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Sucrose,3.614,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Myo-inositol,3.6144,Triplet,9.997,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Myo-inositol,3.6144,Triplet,9.482,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Myo-inositol,3.62,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Myo-inositol,3.62,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamate,3.62,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Myo-inositol,3.62,Triplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Valine,3.62,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
GPC,3.62,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycerol,3.63,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycogen,3.63,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Valine,3.63,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Myo-inositol,3.63,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Myo-inositol,3.63,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glycerol,3.63,Doublet of triplets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycogen,3.63,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Myo-inositol,3.63,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Inositol,3.63,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Ethanol,3.64,Quartet,,Food additives in body fluid - Alcoholic drinks,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glycerol,3.6402,Doublet of doublets,4.427,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glycerol,3.6402,Doublet of doublets,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phosphoril choline,3.641,Multiplet,"2.68, 2.772, 6.298",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Isoleucine,3.65,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Tyrosine,3.65,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Isoleucine,3.65,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Ethanol,3.65,Quartet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glycerol,3.65,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Isoleucine,3.65,Doublet,,Metabolites,Miscelaneous list,Unknown
Ethanol,3.65,Quartet,,Metabolites,Miscelaneous list,Unknown
Isoleucine,3.65,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glycero-phosphocholine,3.659,Multiplet,5.9,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glycogen,3.66,Quartet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Sorbitol,3.66,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lysine,3.66,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Glycerol,3.66,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glycogen,3.66,Quartet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Ethanol,3.66,Quartet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Sucrose,3.664,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
GPC,3.67,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Arginine,3.67,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Choline in Lipids,3.67,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Glycero-phosphocholine,3.672,Doublet of doublets,4.53,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Leucine,3.68,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
GPC,3.68,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
GPC,3.68,Triplet,,Metabolites,Miscelaneous list,Unknown
GPC,3.68,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glucose (increase),3.68,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
β-hydroxybutyrate,3.68,,,,,
Sucrose,3.683,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Sucrose,3.688,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Leucine,3.69,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,3.69,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,3.69,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Leucine,3.7,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
α-Glucose,3.7,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
α-Glucose,3.7,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
α-Glucose,3.71,Triplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.71,Triplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Isoleucine,3.71,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
α-Glucose,3.71,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
α-Glucose,3.72,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.72,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.72,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.72,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.72,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.72,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,3.72,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
α-Glucose,3.72,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Leucine,3.72,Triplet,,Metabolites,Miscelaneous list,Unknown
Manβ1-4GlcNAc,3.72,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
GPC,3.72,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Leucine,3.72,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
β-Glucose,3.72,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
TRIS,3.73,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamate,3.74,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutamate,3.74,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutamate,3.74,Doublet of triplets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Glutamate,3.7433,dd,7.331,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamate,3.75,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamate,3.75,Multiplet,,Metabolites,Miscelaneous list,Unknown
Vitamin C,3.75,Multiplet,,Food additives in body fluid - Vitamin tablets,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Vitamin C,3.75,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamate,3.75,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
"1,2-propanediol",3.75,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Isoleucine,3.75,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Lysine,3.75,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Arginine,3.75,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Asparagine,3.75,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamine,3.753,Triplet,5.847,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Lysine,3.76,Triplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Alanine,3.76,Quartet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamine,3.76,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
α-Glucose,3.76,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.76,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.76,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Methionine,3.76,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Arginine,3.76,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamate,3.76,Triplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Arginine,3.76,Triplet,,Metabolites,Miscelaneous list,Unknown
Arginine,3.76,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
α-Glucose,3.76,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glyceraldehyde,3.76,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glutathione,3.769,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutathione,3.769,Triplet,6.36,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,3.77,Triplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Sorbitol,3.77,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Alanine,3.77,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Glutamine,3.77,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Glycogen,3.77,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Lysine,3.77,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Alanine,3.77,Quartet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lysine,3.77,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamine,3.77,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lysine,3.77,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lysine,3.77,Triplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Alanine,3.77,Quartet,,Metabolites,Miscelaneous list,Unknown
Lysine,3.77,triplet,,Metabolites,Miscelaneous list,Unknown
Glutamine,3.77,Multiplet,,Metabolites,Miscelaneous list,Unknown
Alanine,3.77,Quartet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glutamine,3.77,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Lysine,3.77,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glutamine,3.77,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycerol,3.7704,Multiplet,6.485,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Alanine,3.7746,Quartet,7.234,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
GPC,3.78,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
GPC,3.78,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Methionine,3.78,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Arginine,3.78,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
β-Glucose,3.78,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Methionine,3.78,Multiplet,,Metabolites,Miscelaneous list,Unknown
Fuc-GlcNAc-Asn,3.78,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
